V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,y
6.077890191136248e-8,6.13014279338131e-8,6.207330471852401e-8,5.838490935161644e-8,5.771653022179635e-8,5.836376359980022e-8,5.596398011675774e-8,5.813695125311824e-8,5.4776919000687485e-8,5.582349871247061e-8,5.3950568457139525e-8,5.382142731491513e-8,5.489999210794849e-8,5.5175526370021544e-8,5.557814830581265e-8,5.3652168929829713e-08,5.444896444828373e-8,5.290736382335126e-8,5.3496080454351613e-08,5.3587150716793985e-8,5.324398699713129e-8,5.128477909011053e-8,5.038859995920575e-8,5.1724903471495054e-8,5.2018918950125226e-8,5.202050701313965e-8,5.296896432582798e-8,5.655791923686593e-8,8.169428156179492e-8,2.7945003466811613e-7,3.124311263036361e-7,1.575758261651572e-7,8.6404774890525e-8,8.459708311647773e-8,7.749455477323863e-8,7.181083105933794e-8,6.643625027891176e-8,6.260182772166445e-8,6.182447975788818e-8,6.268176377943746e-8,6.31705674436489e-8,6.223314130693325e-8,6.151411469090817e-8,5.997127061618812e-8,6.005711838952266e-8,5.7765671357401516e-8,5.918719025999053e-8,5.702102257032493e-8,5.653963341956114e-8,5.706182903963963e-8,5.439640204940588e-8,5.458717211581643e-8,5.542643322087315e-8,5.535357416874831e-8,5.855797979847921e-8,5.6832341499557515e-8,5.38418767348503e-8,5.734715102789778e-8,5.6167646533822335e-8,5.510791112328661e-8,5.4597343535078835e-8,1
5.171123973468639e-8,5.201586006364778e-8,4.897713168361406e-8,4.737072956118027e-8,4.9488896536331595e-8,5.043411732685854e-8,4.995886726533172e-8,5.023286320238185e-8,5.213394160819007e-8,5.078289788684742e-8,4.902109296267554e-8,5.019652959958876e-8,5.0182620725536253e-08,5.0890790248558915e-8,5.007106551602192e-8,4.832239497432056e-8,5.070690889397156e-8,4.916078921723965e-8,4.879957060666129e-8,4.928969588036125e-8,4.9474380148240016e-8,4.8951768860661105e-8,4.955670362960518e-8,4.915555962270446e-8,5.016800130874799e-8,4.951500187644342e-8,5.0352653602203645e-8,5.110997491897251e-8,5.192339003201596e-8,8.903004555804728e-8,2.0622996999009047e-7,1.1828658585955054e-7,9.591131089337068e-8,9.116266852515764e-8,9.665455991125782e-8,7.891076592159152e-8,7.473641971955658e-8,7.008596725199823e-8,6.790465079120622e-8,6.669613838994337e-8,6.421228704311943e-8,6.213062420101778e-8,6.362902382761604e-8,6.234545679717485e-8,5.903740074586494e-8,5.6455569108493364e-8,5.513060585826679e-8,5.6198331321866135e-8,5.495248345255277e-8,5.460176666360894e-8,5.390979040953425e-8,5.38214486311972e-8,5.451854434568304e-8,5.3894112284069706e-8,5.295553151540844e-8,5.270502256848886e-8,5.197279406843336e-8,5.023102644940991e-8,5.2141928108540014e-8,5.02917778533174e-8,5.126662827592554e-8,1
4.591491986616347e-8,4.239396744765145e-8,4.506715711727338e-8,4.6148333154860666e-8,4.419220545059943e-8,4.5225515776792236e-8,4.527517916130819e-8,4.4526469622496734e-8,4.440591183652032e-8,4.621703553198131e-8,4.482423676677172e-8,4.834150502119883e-8,4.567935008026325e-8,4.436731160240015e-8,4.5612598142952265e-8,4.5567102091581546e-8,4.732152447672888e-8,4.775578688054338e-8,4.807200681966606e-8,4.93570730952797e-8,4.850407364642706e-8,4.881396264977411e-8,4.928022079297989e-8,4.88125735387257e-8,4.908128303782178e-8,4.7946524972530824e-8,4.922507912397123e-8,4.9475062269266346e-8,1.0326942145866269e-7,1.756247058892768e-7,1.8507334687001276e-7,1.0187431342956188e-7,7.674465507534478e-8,6.01383050025106e-8,5.5832490630791654e-8,5.482017684244056e-8,5.241703249225793e-8,5.105666289750843e-8,4.91957230508433e-8,4.7876060449425495e-8,4.82225246400958e-8,4.8025572851884135e-8,4.79797108710045e-8,4.6982862045297225e-8,4.767476724509834e-8,4.610330961440923e-8,4.821878363259202e-8,4.7566551586442074e-8,4.7662126689829165e-8,4.724442703718523e-8,4.690951271868471e-8,4.779720086389716e-8,4.507017692390036e-8,4.481419324520175e-8,4.5324675568281236e-8,4.5517378310933054e-8,4.70013006292902e-8,4.5121968383909916e-8,4.475880999166293e-8,4.5448310004303494e-8,4.5904787526751534e-8,1
4.522022223341082e-8,4.517384510904776e-8,4.432854439073708e-8,4.186809832162908e-8,4.307369394496163e-8,4.286468424652412e-8,4.398725295118311e-8,4.2833985247625606e-8,4.393177022166128e-8,4.4290164424865e-8,4.566778599723875e-8,4.650780027759538e-8,4.872280712220345e-8,5.254203472304653e-8,5.4487106382339334e-8,5.639068234586375e-8,5.556602999945426e-8,5.1686008362139546e-8,5.376659117928284e-8,5.3829996460308394e-8,5.286262094728045e-8,5.513614809160572e-8,5.675106251601392e-8,6.06492207566589e-8,7.922733402665472e-8,1.1185341719510689e-7,1.5905223449408368e-7,1.948601919821158e-7,2.254333395512731e-7,2.587558185496164e-7,2.817220376982732e-7,2.489024666374462e-7,2.1783908721317857e-7,2.0727846106183279e-7,1.9490704517011181e-7,1.7587062473012338e-7,1.5615040638294886e-7,1.3780611141100962e-7,1.2008391081508307e-7,1.0602791888913998e-7,9.257028921183519e-8,8.265685380592913e-8,7.451660621882183e-8,6.838805433062589e-8,6.322046175455398e-8,5.96594986745913e-8,5.520870516306786e-8,5.487401821824278e-8,5.384971046851206e-8,5.4050140363415267e-8,5.163066418845119e-8,5.163203908864489e-8,5.134180014465528e-8,5.020742932515532e-8,4.915812468198055e-8,4.934461728112183e-8,5.068557484833036e-8,4.986402046824878e-8,4.85727937871161e-8,4.9902808996193926e-8,4.846305756700531e-8,1
6.370007810119205e-8,6.538264329947197e-8,6.36594137404245e-8,6.113764072779304e-8,6.215584846813726e-8,6.450336798025091e-8,6.331173807438972e-8,6.75307560982219e-8,7.393341405759202e-8,8.31019804081734e-8,9.32247061768976e-8,1.0604488664966993e-7,1.1621810358519724e-7,1.2519659264853544e-7,1.3582250346644287e-7,1.4874991904889612e-7,1.633118529298372e-7,1.7106384575527045e-7,1.7437970711853268e-7,1.7725533041357266e-7,1.8040960014786833e-7,1.8625891584633791e-7,1.956757103016571e-7,2.0104526754494145e-7,2.201435904680693e-7,2.5100516154452635e-7,2.885902290472586e-7,3.2586436304882227e-7,3.590961910049373e-7,3.84741838388436e-7,3.929478964437294e-7,3.8551394254682236e-7,3.710536304879497e-7,3.587675223570841e-7,3.506243615447602e-7,3.386764149126975e-7,3.2665874982740206e-7,3.136887869459315e-7,2.983083220442495e-7,2.842141384462593e-7,2.723268153204117e-7,2.5992477503677947e-7,2.540495813718735e-7,2.48682624715002e-7,2.467614876877633e-7,2.3707362117875164e-7,2.2905678065399115e-7,2.2142030786653777e-7,2.1282004070144467e-7,2.077353116192171e-7,2.0240426579221094e-7,1.9540118501026882e-7,1.8769627274650702e-7,1.8160820047796733e-7,1.7832901733072504e-7,1.7592132905974722e-7,1.7193572432461224e-7,1.6520000656328193e-7,1.6346912445897033e-7,1.5721174406735372e-7,1.538726195349227e-7,1
1.3422034328414156e-7,1.2853203656959522e-7,1.2587059927682276e-7,1.2399134163842973e-7,1.2070029242750024e-7,1.1663388477245462e-7,1.1637881414117146e-7,1.1287488632660825e-7,1.1278391554014888e-7,1.1068827632243483e-7,1.0950095230555235e-7,1.0906097003271498e-7,1.0808820150032261e-7,1.0522327187345581e-7,1.0543651285388478e-7,1.0583283938103705e-7,1.0393353022664087e-7,1.0251659432469751e-7,1.0235026337568343e-7,1.0235230973876241e-7,1.0421005214311663e-7,1.0769447555958322e-7,1.1227573537553326e-7,1.1305636604674874e-7,1.1991991755166964e-7,1.3106810570207017e-7,1.3992006131502421e-7,1.460714145196107e-7,1.4634105127697694e-7,1.4763904232495406e-7,1.4771308087802026e-7,1.44469822771498e-7,1.440470924762849e-7,1.4021711081113608e-7,1.377830045612427e-7,1.3549555433201022e-7,1.3603552417862375e-7,1.331839598606166e-7,1.3115739250224578e-7,1.3417025002127048e-7,1.341344812999523e-7,1.3428828538053494e-7,1.2955578654327837e-7,1.314663649054637e-7,1.2896158807507163e-7,1.290839151124601e-7,1.2641241653454927e-7,1.2551903694202338e-7,1.2213942568450875e-7,1.1904258911954457e-7,1.1904533891993196e-7,1.17524869835961e-7,1.1809703437393182e-7,1.1845794034570645e-7,1.194059251474755e-7,1.1850916337152739e-7,1.164404110909345e-7,1.1551058776149148e-7,1.1255540499632843e-7,1.1333519012168836e-7,1.1525353471597555e-7,1
1.1155393053741136e-7,1.0973753461485103e-7,1.0855826815259206e-7,1.0708680520110647e-7,1.0637320002615525e-7,1.0522031601567505e-7,1.0597321420391381e-7,1.0254336757498095e-7,1.0201021183320336e-7,1.0220752955092394e-7,1.0493246804799128e-7,1.0267734040780852e-7,1.0553521434530921e-7,1.0876593137254531e-7,1.11149475401362e-7,1.1121647247591682e-7,1.0986897081011193e-7,1.0987109533289185e-7,1.1231160357283443e-7,1.1250528331174792e-7,1.1010673262035198e-7,1.0802429528666835e-7,1.0661235450015738e-7,1.0678981254841347e-7,1.0544105322196629e-7,1.090982877371971e-7,1.1137110789150029e-7,1.1875631855673419e-7,1.2634913559850247e-7,1.4093568267981027e-7,1.5236162198561942e-7,1.4724886909789348e-7,1.426709843599383e-7,1.4062037223538937e-7,1.444136472628088e-7,1.443748516294363e-7,1.4324771768770006e-7,1.434927554555543e-7,1.3913540897192433e-7,1.3590586434020224e-7,1.348781921706177e-7,1.3034392054578348e-7,1.289548379190819e-7,1.2633722690225113e-7,1.2426481532656908e-7,1.2911611690924474e-7,1.2845588059917645e-7,1.286649364828918e-7,1.25309284726427e-7,1.219568162014184e-7,1.1854274362121942e-7,1.1677078504135352e-7,1.1493471419043999e-7,1.2014156425266265e-7,1.2399060267398454e-7,1.2655422665375227e-7,1.2256703030288918e-7,1.176355937104745e-7,1.1893217788383481e-7,1.2476459687604802e-7,1.2166677265668113e-7,1
1.25309284726427e-7,1.219568162014184e-7,1.1854274362121942e-7,1.1677078504135352e-7,1.1493471419043999e-7,1.2014156425266265e-7,1.2399060267398454e-7,1.2655422665375227e-7,1.2256703030288918e-7,1.176355937104745e-7,1.1893217788383481e-7,1.2476459687604802e-7,1.2166677265668113e-7,1.22001594604626e-7,1.2103512858629983e-7,1.2118098879909667e-7,1.192759953028144e-7,1.1683586365052179e-7,1.1503314567562484e-7,1.1593412807542336e-7,1.1210036632292031e-7,1.1158250856624363e-7,1.1049402104390538e-7,1.1011635336899417e-7,1.2000697324765497e-7,1.3024155975926988e-7,1.4085460975366004e-7,1.546797250284726e-7,1.7533102436573245e-7,1.9674760665111535e-7,2.0528301547528827e-7,2.036198480936946e-7,1.960971189873817e-7,1.8206252150321234e-7,1.6829974924803537e-7,1.5855434298828186e-7,1.4743085330337635e-7,1.3805181708903547e-7,1.3072062188257405e-7,1.240735656438119e-7,1.1896462126514962e-7,1.1585991899210057e-7,1.1517887088530188e-7,1.1153734646995872e-7,1.119376094038671e-7,1.1133491994996803e-7,1.0980217979295048e-7,1.0932430427601503e-7,1.0669455008383011e-7,1.0258056448719799e-7,9.909066989166604e-8,9.605760453723633e-8,9.718151972037958e-8,9.806576883875096e-8,9.999140360150705e-8,1.009100429882892e-7,9.90788606713977e-8,9.778052145748006e-8,9.553627222658179e-8,9.719316551581869e-8,9.962899838455996e-8,1
5.734479202601506e-8,5.677291525785222e-8,5.748549014583659e-8,5.8140908976156425e-8,5.66416993308394e-8,5.6502539536040786e-8,5.850662176953847e-8,5.494579013998191e-8,5.579054018767238e-8,5.70355744855533e-8,5.520923807011968e-8,5.7368403361124365e-8,5.708183792307864e-8,5.813722836478519e-8,5.7691771360168786e-8,5.863249796789205e-8,5.684018233864663e-8,6.080079373305125e-8,6.253836914993371e-8,6.396589924406726e-8,6.326570201053983e-8,6.170401434246742e-8,6.398483520797527e-8,6.206570901667874e-8,6.252013662333411e-8,6.431828580844012e-8,6.384215822663464e-8,6.63774883946644e-8,8.472943591186777e-8,1.0880790313194666e-7,1.17965718970936e-7,1.1208756234282191e-7,1.0799160321539603e-7,9.53905541223321e-8,8.755863234455319e-8,7.92586760667291e-8,7.619768638278401e-8,7.334337226438947e-8,7.255925993376877e-8,7.24696818110715e-8,7.302674731590741e-8,7.232043230942509e-8,7.193629869561846e-8,7.35935543616506e-8,7.170736893158391e-8,7.40419281441973e-8,7.459062345560596e-8,7.558747228131324e-8,7.445945016115729e-8,7.242553579089872e-8,7.088681996947344e-8,7.153366254897264e-8,7.006156721445223e-8,7.019293235543955e-8,7.15320283006804e-8,7.150012493184477e-8,7.179136929380547e-8,7.699455295551161e-8,8.036004572886668e-8,9.043591830959485e-8,1.0630147073698026e-7,1
7.92586760667291e-8,7.619768638278401e-8,7.334337226438947e-8,7.255925993376877e-8,7.24696818110715e-8,7.302674731590741e-8,7.232043230942509e-8,7.193629869561846e-8,7.35935543616506e-8,7.170736893158391e-8,7.40419281441973e-8,7.459062345560596e-8,7.558747228131324e-8,7.445945016115729e-8,7.242553579089872e-8,7.088681996947344e-8,7.153366254897264e-8,7.006156721445223e-8,7.019293235543955e-8,7.15320283006804e-8,7.150012493184477e-8,7.179136929380547e-8,7.699455295551161e-8,8.036004572886668e-8,9.043591830959485e-8,1.0630147073698026e-7,1.3983726887545345e-7,1.9649633031804115e-7,2.854333729374048e-7,4.4225780015949567e-7,5.467982759910228e-7,5.220152274887369e-7,4.4388875153345e-7,3.7828846188858734e-7,3.370616354914091e-7,3.060219455619517e-7,2.768418880805257e-7,2.511054049136874e-7,2.3286581551928975e-7,2.2187299464349053e-7,2.1456976639910863e-7,2.0999216587824776e-7,2.0673631695444783e-7,2.0333260408733622e-7,2.0706218606392213e-7,2.2363425955518323e-7,2.4665467890372383e-7,2.468051718551578e-7,2.3581532104799408e-7,2.31819342388917e-7,2.458906180891063e-7,2.7148814751853934e-7,2.6744899628283747e-7,2.5594127350814233e-7,2.4020064870455826e-7,2.216372934071842e-7,2.1213848810930358e-7,2.0974268011286767e-7,2.019028926270039e-7,2.210343552633276e-7,2.930462414951762e-7,1
